Code,Area Name,County type,Country Code
GB-HPL,Hartlepool,unitary authority,ENG
GB-HEF,Herefordshire,unitary authority,ENG
GB-IOW,Isle of Wight,unitary authority,ENG
GB-IOS,Isles of Scilly,unitary authority,ENG
GB-KHL,Kingston upon Hull,unitary authority,ENG
GB-LCE,Leicester,unitary authority,ENG
GB-LUT,Luton,unitary authority,ENG
GB-MDW,Medway,unitary authority,ENG
GB-MDB,Middlesbrough,unitary authority,ENG
GB-MIK,Milton Keynes,unitary authority,ENG
GB-NEL,North East Lincolnshire,unitary authority,ENG
GB-NLN,North Lincolnshire,unitary authority,ENG
GB-NSM,North Somerset,unitary authority,ENG
GB-NBL,Northumberland,unitary authority,ENG
GB-NGM,Nottingham,unitary authority,ENG
GB-PTE,Peterborough,unitary authority,ENG
GB-PLY,Plymouth,unitary authority,ENG
GB-POL,Poole,unitary authority,ENG
GB-POR,Portsmouth,unitary authority,ENG
GB-RDG,Reading,unitary authority,ENG
GB-RCC,Redcar and Cleveland,unitary authority,ENG
GB-RUT,Rutland,unitary authority,ENG
GB-SHR,Shropshire,unitary authority,ENG
GB-SLG,Slough,unitary authority,ENG
GB-SGC,South Gloucestershire,unitary authority,ENG
GB-STH,Southampton,unitary authority,ENG
GB-SOS,Southend-on-Sea,unitary authority,ENG
GB-STT,Stockton-on-Tees,unitary authority,ENG
GB-STE,Stoke-on-Trent,unitary authority,ENG
GB-SWD,Swindon,unitary authority,ENG
GB-TFW,Telford and Wrekin,unitary authority,ENG
GB-THR,Thurrock,unitary authority,ENG
GB-TOB,Torbay,unitary authority,ENG
GB-WRT,Warrington,unitary authority,ENG
GB-WBK,West Berkshire,unitary authority,ENG
GB-WIL,Wiltshire,unitary authority,ENG
GB-WNM,Windsor and Maidenhead,unitary authority,ENG
GB-WOK,Wokingham,unitary authority,ENG
GB-YOR,York,unitary authority,ENG
GB-ANN,Antrim and Newtownabbey,district,NIR
GB-AND,Ards and North Down,district,NIR
GB-ABC,"Armagh City, Banbridge and Craigavon",district,NIR
GB-BFS,Belfast,district,NIR
GB-CCG,Causeway Coast and Glens,district,NIR
GB-DRS,Derry City and Strabane,district,NIR
GB-FMO,Fermanagh and Omagh,district,NIR
GB-LBC,Lisburn and Castlereagh,district,NIR
GB-MEA,Mid and East Antrim,district,NIR
GB-MUL,Mid Ulster,district,NIR
GB-NMD,"Newry, Mourne and Down",district,NIR
GB-ABE,Aberdeen City,council area,SCT
GB-ABD,Aberdeenshire,council area,SCT
GB-ANS,Angus,council area,SCT
GB-AGB,Argyll and Bute,council area,SCT
GB-CLK,Clackmannanshire,council area,SCT
GB-DGY,Dumfries and Galloway,council area,SCT
GB-DND,Dundee City,council area,SCT
GB-EAY,East Ayrshire,council area,SCT
GB-EDU,East Dunbartonshire,council area,SCT
GB-ELN,East Lothian,council area,SCT
GB-ERW,East Renfrewshire,council area,SCT
GB-EDH,"Edinburgh, City of",council area,SCT
GB-ELS,Eilean Siar,council area,SCT
GB-FAL,Falkirk,council area,SCT
GB-FIF,Fife,council area,SCT
GB-GLG,Glasgow City,council area,SCT
GB-HLD,Highland,council area,SCT
GB-IVC,Inverclyde,council area,SCT
GB-MLN,Midlothian,council area,SCT
GB-MRY,Moray,council area,SCT
GB-NAY,North Ayrshire,council area,SCT
GB-NLK,North Lanarkshire,council area,SCT
GB-ORK,Orkney Islands,council area,SCT
GB-PKN,Perth and Kinross,council area,SCT
GB-RFW,Renfrewshire,council area,SCT
GB-SCB,"Scottish Borders, The",council area,SCT
GB-ZET,Shetland Islands,council area,SCT
GB-SAY,South Ayrshire,council area,SCT
GB-SLK,South Lanarkshire,council area,SCT
GB-STG,Stirling,council area,SCT
GB-WDU,West Dunbartonshire,council area,SCT
GB-WLN,West Lothian,council area,SCT
GB-BGW,Blaenau Gwent,unitary authority,WLS
GB-BGE,Bridgend [Pen-y-bont ar Ogwr GB-POG],unitary authority,WLS
GB-CAY,Caerphilly [Caerffili GB-CAF],unitary authority,WLS
GB-CRF,Cardiff [Caerdydd GB-CRD],unitary authority,WLS
GB-CMN,Carmarthenshire [Sir Gaerfyrddin GB-GFY],unitary authority,WLS
GB-CGN,Ceredigion [Sir Ceredigion],unitary authority,WLS
GB-CWY,Conwy,unitary authority,WLS
GB-DEN,Denbighshire [Sir Ddinbych GB-DDB],unitary authority,WLS
GB-FLN,Flintshire [Sir y Fflint GB-FFL],unitary authority,WLS
GB-GWN,Gwynedd,unitary authority,WLS
GB-AGY,Isle of Anglesey [Sir Ynys Môn GB-YNM],unitary authority,WLS
GB-MTY,Merthyr Tydfil [Merthyr Tudful GB-MTU],unitary authority,WLS
GB-MON,Monmouthshire [Sir Fynwy GB-FYN],unitary authority,WLS
GB-NTL,Neath Port Talbot [Castell-nedd Port Talbot GB-CTL],unitary authority,WLS
GB-NWP,Newport [Casnewydd GB-CNW],unitary authority,WLS
GB-PEM,Pembrokeshire [Sir Benfro GB-BNF],unitary authority,WLS
GB-POW,Powys,unitary authority,WLS
GB-RCT,"Rhondda, Cynon, Taff [Rhondda, Cynon, Taf]",unitary authority,WLS
GB-SWA,Swansea [Abertawe GB-ATA],unitary authority,WLS
GB-TOF,Torfaen [Tor-faen],unitary authority,WLS
GB-VGL,"Vale of Glamorgan, The [Bro Morgannwg GB-BMG]",unitary authority,WLS
GB-WRX,Wrexham [Wrecsam GB-WRC],unitary authority,WLS
